time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,assess_in_year,assess_issued,assess_issued_pc,assess_not_issued,assess_not_issued_pc,assess_not_made,assess_not_made_pc,assess_withdrawn,assess_withdrawn_pc,outcome_decision_within_time,outcome_decision_over_time,outcome_decision_within_time_pc,outcome_decision_over_time_pc,number_assess_mediation,number_assess_tribunal,number_asssess_mediation_tribunal,number_other_mediation,number_other_tribunal,number_other_mediation_tribunal
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E06000055,822,Bedford,All EHC needs assessments,All EHC needs assessments,x,152,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E06000056,823,Central Bedfordshire,All EHC needs assessments,All EHC needs assessments,x,206,x,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E10000003,873,Cambridgeshire,All EHC needs assessments,All EHC needs assessments,x,653,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E06000031,874,Peterborough,All EHC needs assessments,All EHC needs assessments,x,175,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E10000012,881,Essex,All EHC needs assessments,All EHC needs assessments,x,995,x,17,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E06000033,882,Southend-on-Sea,All EHC needs assessments,All EHC needs assessments,x,140,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E06000034,883,Thurrock,All EHC needs assessments,All EHC needs assessments,x,240,x,92,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E10000015,919,Hertfordshire,All EHC needs assessments,All EHC needs assessments,x,1135,x,46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E10000020,926,Norfolk,All EHC needs assessments,All EHC needs assessments,x,655,x,91,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000006,East of England,E10000029,935,Suffolk,All EHC needs assessments,All EHC needs assessments,x,851,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000001,201,City of London,All EHC needs assessments,All EHC needs assessments,x,2,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000007,202,Camden,All EHC needs assessments,All EHC needs assessments,x,131,x,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000011,203,Greenwich,All EHC needs assessments,All EHC needs assessments,x,227,x,55,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000012,204,Hackney,All EHC needs assessments,All EHC needs assessments,x,449,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000013,205,Hammersmith and Fulham,All EHC needs assessments,All EHC needs assessments,x,143,x,44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000019,206,Islington,All EHC needs assessments,All EHC needs assessments,x,157,x,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000020,207,Kensington and Chelsea,All EHC needs assessments,All EHC needs assessments,x,85,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000022,208,Lambeth,All EHC needs assessments,All EHC needs assessments,x,304,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000023,209,Lewisham,All EHC needs assessments,All EHC needs assessments,x,353,x,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000028,210,Southwark,All EHC needs assessments,All EHC needs assessments,x,273,x,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000030,211,Tower Hamlets,All EHC needs assessments,All EHC needs assessments,x,314,x,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000007,London,E09000032,212,Wandsworth,All EHC needs assessments,All EHC needs assessments,x,250,x,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
